site,employees_or_jobs_lost,contractors,transient_workers,associated_mine_workers,associated_mine,close_down_date,Coordinates ,announcement_date,total_workers_or_jobs_lost,operating,links,federal_support_provided,total_support,Notes,power_station
Muja Power Station,80,NA,NA,315,"Equington, Premier",NA,"-33.44561315410173, 116.30664913068856",NA,395,TRUE,https://www.mediastatements.wa.gov.au/Pages/McGowan/2019/08/Muja-Power-Station-in-Collie-to-be-scaled-back-from-2022.aspx,NA,NA,Took the sum of each of the different sites for the total workers,TRUE
Bluewaters power station,48,NA,NA,293,"Equington, Premier",NA,"-33.32924917610627, 116.2265472",NA,341,TRUE,https://thewest.com.au/business/energy/bluewaters-power-station-synery-wont-renew-contract-with-collie-coal-plant-c-7201639,NA,NA,NA,TRUE
Collinsville Open Cut operation,340,NA,NA,NA,NA,NA,"-20.565637925420177, 147.8312383460328",NA,340,TRUE,https://www.glencore.com.au/operations-and-projects/coal/current-operations/collinsville-open-cut,NA,NA,Self reported by Glencore,FALSE
Hail Creek Open Cut operation,940,NA,NA,NA,NA,NA,"-21.48943479447653, 148.36576551534426",NA,940,TRUE,https://www.glencore.com.au/operations-and-projects/coal/current-operations/collinsville-open-cut,NA,NA,Self reported by Glencore,FALSE
Hunter Valley Operations,1190,NA,NA,NA,NA,NA,"-32.46607363740535, 150.9839238460328",NA,1190,TRUE,https://www.glencore.com.au/operations-and-projects/coal/current-operations/hunter-valley-operations,NA,NA,Self reported by Glencore,FALSE
Integra Underground Coal Mine,260,NA,NA,NA,NA,NA,"-32.46410704698044, 151.13095187672135",NA,260,TRUE,https://www.glencore.com.au/operations-and-projects/coal/current-operations/integra-underground,NA,NA,Self reported by Glencore,FALSE
Mangoola Coal,390,NA,NA,NA,NA,NA,"-32.29435087201493, 150.70633604603282",NA,390,TRUE,https://www.glencore.com.au/operations-and-projects/coal/current-operations/mangoola-open-cut,NA,NA,Self reported by Glencore,FALSE
Glendell Coal Mine,820,NA,NA,NA,NA,NA,"-32.43364455360536, 151.0660524153443",NA,820,TRUE,https://www.glencore.com.au/operations-and-projects/coal/current-operations/mt-owen-glendell-open-cut,NA,NA,Self reported by Glencore,FALSE
Ravensworth Mine,670,NA,NA,NA,NA,NA,"-32.46011200865784, 151.01905416931146",NA,670,TRUE,https://www.glencore.com.au/operations-and-projects/coal/current-operations/ravensworth-operations,NA,NA,Self reported by Glencore,FALSE
Collie,49,NA,NA,57,"Equington, Premier",NA,"-33.34103451683593, 116.2621539693118",NA,106,TRUE,https://en.wikipedia.org/wiki/Collie_Power_Station,,,,
